	miRNA	log(FC)	Expression
173	miR-216b-5p	-0.272955	Down
63	miR-138-2-3p	-0.274555	Down
69	miR-141-5p	-0.275965	Down
417	miR-9-3p	-0.281113	Down
44	miR-130b-5p	-0.282568	Down
328	miR-542-3p	-0.285258	Down
246	miR-485-5p	-0.287948	Down
111	miR-181a-2-3p	-0.29825	Down
323	miR-532-3p	-0.301242	Down
181	miR-369-5p	-0.317287	Down
59	miR-136-3p	-0.31942	Down
61	miR-138-5p	-0.320982	Down
343	miR-588	-0.327889	Down
331	miR-544a	-0.346736	Down
236	miR-452-3p	-0.367833	Down
441	miR-95-3p	-0.36793	Down
375	miR-617	-0.369445	Down
263	miR-496	-0.378575	Down
374	miR-616-5p	-0.379495	Down
36	miR-1304-5p	-0.390006	Down
396	miR-874-3p	-0.394486	Down
3	let-7b-3p	-0.411222	Down
110	miR-181a-5p	-0.416787	Down
390	miR-767-3p	-0.418044	Down
162	miR-20b-5p	-0.419213	Down
381	miR-623	-0.43045	Down
235	miR-452-5p	-0.430842	Down
341	miR-586	-0.43327	Down
337	miR-582-5p	-0.438996	Down
257	miR-491-5p	-0.44353	Down
251	miR-488-3p. miR-488-5p	-0.448886	Down
78	miR-1468-5p	-0.457545	Down
237	miR-323b-5p	-0.466696	Down
223	miR-431-5p	-0.468359	Down
23	miR-1290	-0.484718	Down
203	miR-380-5p	-0.495205	Down
53	miR-134-5p	-0.500216	Down
132	miR-195-3p	-0.511762	Down
122	miR-191-3p	-0.553879	Down
179	miR-367-5p	-0.55439	Down
198	miR-378a-5p. miR-378a-3p	-0.571848	Down
158	miR-208a-3p	-0.587493	Down
65	miR-139-5p	-0.619223	Down
135	miR-196b-5p	-0.685136	Down
133	miR-196a-5p	-0.718225	Down
51	miR-133a-3p	-0.731331	Down
108	miR-17-5p. miR-17-3p	-0.734676	Down
58	miR-136-5p	-0.743315	Down
30	miR-1297	-0.754165	Down
83	miR-147a	-0.775625	Down
5	miR-101-5p	-0.796091	Down
2	let-7b-5p	-0.827761	Down
7	miR-105-5p	-0.871366	Down
4	let-7c-5p	-0.970358	Down
