	mRNA	log(FC)	Expression
1559		-1.885981	Down
1680	MKNK1	-1.8885531	Down
231		-1.8895796	Down
1362	MIR205	-1.8911175	Down
1201	LOC100131541	-1.8924462	Down
1429	C9orf66	-1.8949847	Down
725		-1.8967642	Down
2427	C5orf42	-1.9037246	Down
1230	DMKN	-1.9048342	Down
377	SLC1A2	-1.9054798	Down
462	ROPN1	-1.9056089	Down
1176	LOC441454	-1.9059489	Down
166	SOX9	-1.9078171	Down
995		-1.9114448	Down
3393	SDPR	-1.9114921	Down
3086	HOMER2	-1.9143073	Down
132	LOC105378577	-1.9158135	Down
1194	C8orf88	-1.9160096	Down
1131	CHEK1	-1.9169258	Down
1647	KCNC4	-1.9174279	Down
2772	PTPN21	-1.9177389	Down
1973		-1.9206857	Down
668	TBC1D3P1-DHX40P1///RNFT1	-1.9224679	Down
3381	UGGT2	-1.9229433	Down
456	SLF1	-1.9230553	Down
332	NHSL1	-1.9233002	Down
3318	RNF150	-1.9245838	Down
1263	CCDC171	-1.9249449	Down
3239	CYP26B1	-1.9277936	Down
1202	ISM1	-1.9307523	Down
1896		-1.9323884	Down
466	PDLIM3	-1.9330023	Down
1607	BAG4	-1.9375645	Down
1404	SORBS1	-1.9376748	Down
1599	AFP	-1.9382443	Down
1239	ERICH3	-1.9392493	Down
1568	SCARA5	-1.939446	Down
348	HAS3	-1.9395373	Down
1447		-1.9434308	Down
2185	PPP1R1A	-1.9446868	Down
733		-1.944799	Down
2054		-1.9463358	Down
380	LARP4	-1.9501609	Down
826	PDK4	-1.9551674	Down
1147	SORBS2	-1.961439	Down
524	ZC3H12B	-1.964129	Down
1047	SH3BGR	-1.964397	Down
1442	LOC100653057///CES1	-1.9673656	Down
1224	AQP4	-1.9718953	Down
618		-1.9725503	Down
516	LOC101930349///LOC101930344///CGNL1	-1.9729515	Down
1798	KANK4	-1.9730242	Down
748	DDX50	-1.9741798	Down
764	TRIM74///TRIM73	-1.9742493	Down
1694	MGST1	-1.9746446	Down
1507	CP	-1.976939	Down
540		-1.9772495	Down
840	AK5	-1.9775356	Down
708	MIR452///MIR224///GABRE	-1.9778674	Down
1987	GPLD1	-1.979831	Down
2167	S100B	-1.9807304	Down
2791	ELOVL2	-1.9828438	Down
418	ATF3	-1.9861485	Down
737	ERICH1	-1.9885877	Down
1470		-1.9887536	Down
2042	NR3C2	-1.9892627	Down
1020	CDH1	-1.992438	Down
185	TAT	-1.9932423	Down
454	FER	-1.9988094	Down
553	MME	-1.9990454	Down
647	TP53AIP1	-2.00494	Down
1478	KLK10	-2.0051931	Down
283	CADM1	-2.0064459	Down
784		-2.0065619	Down
62	SFN	-2.0109014	Down
304	IL17RB	-2.011392	Down
635	KRT81	-2.0119737	Down
2344	TSHZ2	-2.0131499	Down
368	MRGPRF	-2.0134371	Down
1842	IQCE	-2.0146039	Down
2147	TP53BP1	-2.0177135	Down
2148	ADAMTS9-AS2	-2.0178558	Down
1389	AMDHD1	-2.0182805	Down
3005		-2.0200827	Down
497	LINC01091	-2.0233427	Down
1831		-2.0252267	Down
405	LOC157503///XKR4	-2.0276059	Down
2450	CCDC148	-2.0329922	Down
21	IFFO2	-2.0355191	Down
1179	TENM2	-2.0357238	Down
759	CXCL14	-2.0371792	Down
1732	THRB	-2.0372588	Down
546	KLK7	-2.0379565	Down
379	AZGP1P1///AZGP1	-2.0432303	Down
228	PC	-2.0446167	Down
572	MAOA	-2.0455527	Down
144	WLS	-2.045851	Down
459	C16orf89	-2.0489905	Down
874		-2.0508495	Down
458	ADAMTS1	-2.0521934	Down
496	PDLIM4	-2.0533389	Down
1614	NFIB	-2.0539485	Down
1203	GRAMD2	-2.0550153	Down
1605	MUC6	-2.0572229	Down
2028	TMPRSS2	-2.0578026	Down
752	MARVELD3	-2.0597332	Down
1496	THSD7B	-2.0619218	Down
964	CD300LG	-2.0631224	Down
831	FOS	-2.0645349	Down
1523		-2.0660101	Down
251	EMP1	-2.0674721	Down
872	CAPS2	-2.0676005	Down
1413	SLC6A14	-2.0705904	Down
706	FGFR2	-2.0710247	Down
1298	RRAGD	-2.0754413	Down
531	MARVELD3	-2.0769248	Down
1084		-2.0787984	Down
44	PDLIM4	-2.0788372	Down
932	MAFF	-2.0814698	Down
270	IL17RB	-2.0842702	Down
2678	FAM3B	-2.0883076	Down
455	FBXO16///ZNF395	-2.0897398	Down
721		-2.0912462	Down
2758		-2.0951044	Down
224	PPP1R14C	-2.0963258	Down
1835	RASSF8-AS1	-2.1006956	Down
312	EHF	-2.1072741	Down
2308		-2.1108715	Down
810	LOC105374042	-2.1114305	Down
293		-2.1145138	Down
689	STXBP5L	-2.1224531	Down
382	RNPC3	-2.1240977	Down
319	FERMT1	-2.1253513	Down
843	GSTT2	-2.1256188	Down
2664	CCDC74B///CCDC74A	-2.1259996	Down
417	DMD	-2.1313864	Down
2197		-2.1322556	Down
885	DUSP6	-2.1346483	Down
2136	TFAP2B	-2.1363872	Down
112	THAP7-AS1	-2.1405452	Down
1776	ADGRA3	-2.1422262	Down
415	PYURF///PIGY	-2.1427917	Down
896	METTL14	-2.1428433	Down
128	PI15	-2.1429287	Down
822	RASGEF1A	-2.1435677	Down
694	ZNF385B	-2.1534151	Down
631	KLF8	-2.1598998	Down
1744	ZNF547	-2.1684217	Down
898	ZCCHC11	-2.1698646	Down
147	ANXA1	-2.1704426	Down
2043	CP	-2.1803512	Down
681	CAV1	-2.1807791	Down
1672	CDH3	-2.180984	Down
261	KRT7	-2.1833004	Down
640	TTC23	-2.1854165	Down
277		-2.1872271	Down
704	LOC286191	-2.1887973	Down
122	DSC3	-2.1895627	Down
506	AZGP1	-2.1909662	Down
125	RGN	-2.1944649	Down
643	TNNI2	-2.1980296	Down
199	RASSF6	-2.2031317	Down
53		-2.2046597	Down
103	CARMN	-2.2056539	Down
75	MYH11	-2.2078597	Down
559	CHI3L1	-2.2123402	Down
200	BTG3	-2.2150324	Down
71	PPP2R3A	-2.2228904	Down
547	ARMCX4	-2.228352	Down
558	EHF	-2.2370251	Down
41	CX3CL1	-2.2434102	Down
1210	RRAS2	-2.2443334	Down
882	ADAMTS9-AS2	-2.2448676	Down
825	RARRES1	-2.2497695	Down
660	NTRK2	-2.2527013	Down
620	TFDP2	-2.2560008	Down
665	PLEKHS1	-2.257736	Down
1158	VTCN1	-2.2618228	Down
1086	EHF	-2.2676786	Down
1387	NAP1L2	-2.2702044	Down
216	HCG4	-2.2708796	Down
102	MPZL2	-2.2799769	Down
868	IRX2	-2.2833715	Down
151	ANXA3	-2.2858115	Down
183	CRYBB2P1///CRYBB2	-2.2874001	Down
789	PPP6R3	-2.2911381	Down
74	FAM231D///LOC388692///LINC00869	-2.2911703	Down
110	CYB5R2	-2.2920265	Down
401	CP	-2.2986446	Down
230	WDR86	-2.3058334	Down
362	RPS29	-2.3079545	Down
610	MIPEPP3	-2.3079633	Down
533	SLFN13	-2.3153546	Down
1069	CA2	-2.3161646	Down
194	HOXA10-HOXA9///MIR196B///HOXA9	-2.3177842	Down
1797	TUBB2B	-2.3252442	Down
1043	KCNE1	-2.3327014	Down
317	ATP13A5	-2.3348836	Down
1186		-2.3355556	Down
115	FAM189A2	-2.3392657	Down
141	CHL1	-2.3399767	Down
1219		-2.3431314	Down
149	MMP7	-2.3435017	Down
892	PERP	-2.3449948	Down
313	TF	-2.3496307	Down
131	MIA	-2.3602202	Down
1262	ADAM28	-2.3616033	Down
1009	CTH	-2.3650771	Down
669	KIAA1683	-2.3664239	Down
491	TCEAL2	-2.3676377	Down
1174	ZNF204P	-2.372422	Down
218	CCL28	-2.3758569	Down
11	ZNF551	-2.3758725	Down
191	ID4	-2.3784491	Down
786	STC2	-2.3790493	Down
279	KYNU	-2.3823377	Down
1346	NPY1R	-2.3842172	Down
619	LIN7A	-2.3878195	Down
111	PACRGL	-2.38856	Down
1907	LTF	-2.3951268	Down
290	SOX9	-2.4011958	Down
1635		-2.4061044	Down
440	CYP4X1	-2.408267	Down
186	MYLK	-2.4131527	Down
473	MT1M	-2.4203867	Down
852	PTX3	-2.4242366	Down
327	MPZL3	-2.4326999	Down
86		-2.4393407	Down
392	PDZK1	-2.4428531	Down
387		-2.4447584	Down
413	ITGB8	-2.4452122	Down
169	KLHL13	-2.4537576	Down
907	IGHA2///IGHA1///IGH	-2.4561026	Down
328	NDUFC2-KCTD14///KCTD14	-2.4620564	Down
97	ARSJ	-2.4794234	Down
309	DSC3	-2.4882935	Down
326	SAMD5	-2.4923012	Down
354	SAA2-SAA4///SAA2///SAA1	-2.4934679	Down
217	MET	-2.4983972	Down
792		-2.5015782	Down
135	HOXA10-HOXA9///MIR196B///HOXA9	-2.5027335	Down
645	ADAMTS5	-2.5037533	Down
12	IRX1	-2.5038132	Down
606	PLEKHS1	-2.5119583	Down
42		-2.514856	Down
710	EPB41L5	-2.5168305	Down
1013	VGLL1	-2.5173733	Down
257	FOSB	-2.5177604	Down
330	PAK3	-2.5219149	Down
453	AQP4	-2.5236931	Down
525	VWDE	-2.5282714	Down
956	CLIC6	-2.5336894	Down
974	TLE4	-2.5365693	Down
30	KCNJ16	-2.5399648	Down
289	KIT	-2.543261	Down
3091	SLC26A3	-2.5480253	Down
175	OXTR	-2.5605672	Down
301	PROM1	-2.5612792	Down
1083	KLHDC7A	-2.5641044	Down
31	PDLIM4	-2.5672838	Down
730		-2.5700655	Down
2215	FAM201A	-2.5892514	Down
82	EGFR	-2.5943725	Down
280	FHOD3	-2.5966881	Down
549	HMGCLL1	-2.6019475	Down
484	OLFM4	-2.6081463	Down
120	PTN	-2.6097878	Down
1391	IQCA1	-2.6155006	Down
404	SEC14L1	-2.6176323	Down
159	SERPINA1	-2.6205077	Down
1531		-2.63468	Down
95	KIAA1217	-2.6393131	Down
893	MAGI1	-2.6431749	Down
229	KRT23	-2.6514826	Down
1248		-2.6638622	Down
84	AK5	-2.6639173	Down
1700	PDE1C	-2.6698232	Down
950	NTRK2	-2.6700071	Down
121	TF	-2.6809	Down
501		-2.6811522	Down
215	LOC101928519	-2.6857274	Down
340	CHPT1	-2.686089	Down
557	SLC16A4	-2.6918739	Down
487	TSPAN5	-2.7016097	Down
482	ACTA2	-2.7146916	Down
25	ID4	-2.7158307	Down
69		-2.7272871	Down
1004	CHI3L1	-2.7286399	Down
829	SCGB2A2	-2.7405519	Down
167	SAMD5	-2.7497263	Down
161		-2.7538767	Down
39	LAMB3	-2.7586333	Down
632	HMGCS2	-2.7678461	Down
173		-2.7681258	Down
34	MYH11	-2.7775631	Down
90	PTN	-2.7833679	Down
179	CHL1	-2.7886971	Down
10	ACTG2	-2.7918743	Down
143	GLRA3	-2.7925021	Down
836	IL20RA	-2.8027613	Down
437	LOC101927841	-2.8135122	Down
105	DSG3	-2.8270819	Down
16	BEND7	-2.8314087	Down
22	SOX10	-2.8345453	Down
99	CLDN8	-2.8379105	Down
776	HSD17B2	-2.8605323	Down
1853	CYP4F8	-2.868981	Down
357	UBE4B	-2.8716391	Down
70	SLC34A2	-2.873067	Down
351	SLC27A6	-2.8789151	Down
1038	PIP	-2.8886429	Down
465	NFIB	-2.8951559	Down
178	MAOA	-2.9027459	Down
236	SERPINA1	-2.9028972	Down
238	SOSTDC1	-2.9559085	Down
1234	SCGB1D2	-2.9653073	Down
566	EHF	-2.9763787	Down
38	CX3CL1	-2.9821275	Down
197	PDLIM3	-2.988433	Down
28	SFRP1	-2.9919066	Down
349	MUC15	-2.9949205	Down
49	ELF5	-2.996617	Down
37	MYH11	-2.9969219	Down
123	DCDC2	-3.0083703	Down
675	SERPINA6	-3.0151784	Down
267	LYPD6	-3.0302737	Down
157	COL17A1	-3.0405412	Down
726	CITED1	-3.0600039	Down
48	SFRP1	-3.0921741	Down
233	PAK3	-3.0930194	Down
73	SMYD1	-3.0988512	Down
202	NPY2R	-3.1077853	Down
129	C1orf168	-3.1223074	Down
346	GPM6B	-3.1439519	Down
43	TRIM29	-3.1535126	Down
78	PAMR1	-3.2137471	Down
599	RARRES1	-3.2244914	Down
80	RMST	-3.2358993	Down
98		-3.2390143	Down
91	BBOX1	-3.2526621	Down
57	MME	-3.264036	Down
36	SFRP1	-3.2679883	Down
106	SAA2///SAA1	-3.2714128	Down
9	MIR205HG	-3.2767245	Down
79		-3.2850164	Down
32	GSTA1	-3.3010217	Down
81	MAOA	-3.3085175	Down
60	CCL28	-3.3301581	Down
40	CGB7///NTF4	-3.3591782	Down
88	CHST9	-3.4338425	Down
3	SYNM	-3.4345757	Down
63	C2orf40	-3.4754485	Down
20	CNN1	-3.5289025	Down
27	ATP1A2	-3.5782686	Down
24	DST	-3.5918379	Down
656	WIF1	-3.5949475	Down
345	PPP4R4	-3.635878	Down
15	MPPED2	-3.6463701	Down
246	SCGB3A1	-3.6566142	Down
47	MYBPC1	-3.6620918	Down
148	GLRA3	-3.8498235	Down
101	KRT15	-3.8783933	Down
46	PIGR	-4.0008992	Down
23	GABRP	-4.0124521	Down
7	DST	-4.0347459	Down
18	TRIM29	-4.0552956	Down
2	KRT17///JUP	-4.0608211	Down
140	TFPI2	-4.1013335	Down
8	KRT16	-4.1895944	Down
155	MUCL1	-4.2561201	Down
0	SERPINB5	-4.275421	Down
114	ARHGAP36	-4.2846021	Down
1	PI15	-4.6589974	Down
5	KRT17///JUP	-4.6639727	Down
6	KRT5	-4.7673145	Down
4	KRT14	-5.0723701	Down
77	TFPI2	-5.3063196	Down
