	mRNA	log(FC)	Expression
1157	ADD2	1.288603	Up
889	SPSB1	1.2880252	Up
1017	VOPP1	1.287116	Up
2019		1.2853537	Up
403		1.2825108	Up
1006	MMP14	1.2803738	Up
2872	COL5A3	1.2795184	Up
1520	MLNR	1.2785335	Up
2390		1.2783026	Up
3003	PCED1A	1.2771895	Up
1255	RMI2	1.2762956	Up
1053	MSR1	1.2756108	Up
1275	CHST11	1.2755002	Up
1344	CCM2L	1.2744092	Up
1625	NRSN2	1.2741772	Up
1967		1.2738971	Up
2627	SEC24D	1.2736256	Up
1134	NR1I2	1.2698305	Up
2434	VCAM1	1.2687605	Up
2646	SGCD	1.2677328	Up
2005	RAB3C	1.2674798	Up
3439	RAP2C	1.2651932	Up
1336	TCEB3B	1.2649435	Up
1697		1.2642183	Up
2969	RRM2	1.2635949	Up
787		1.2629072	Up
1993	SAMD9L	1.2588953	Up
2697	METTL13	1.2569824	Up
1856	LINC00536	1.2569771	Up
2109	METTL9	1.2565934	Up
3376		1.2561278	Up
3100	TLR3	1.2558539	Up
2092		1.2554192	Up
886	SAMD9L	1.2551219	Up
990	C6orf10	1.2541467	Up
3310	NUP210L	1.2540501	Up
1726	TRIM3	1.2525842	Up
2696	ACAP3	1.2516715	Up
1889		1.2512373	Up
2440	MTSS1	1.2504592	Up
406		1.2479445	Up
488	USP42	1.2463235	Up
1051	ZNF777	1.246209	Up
2106	KNL1	1.2456865	Up
1970		1.2441838	Up
244	CDCA3	1.2440304	Up
1820	ASPH	1.2432576	Up
2218	TOR4A	1.2426395	Up
1433	SLC1A6	1.2422692	Up
1023	VARS	1.2402202	Up
988	CTSK	1.2399727	Up
2269	MBNL1	1.2397372	Up
356	MICAL2	1.2390152	Up
2542	ZNF672	1.2384126	Up
3339	CCDC90B	1.2373111	Up
3257	ADAMTS6	1.2358999	Up
869	LOC728868	1.2354398	Up
2620	ITGB1BP2	1.2350815	Up
2813	KIAA0040	1.234546	Up
2694	MYNN	1.2344547	Up
3335	DIP2C	1.2343215	Up
1326	LOC389834	1.2333761	Up
2574	FCHSD2	1.2326804	Up
769	CRIP1	1.2317663	Up
3284	MTMR3	1.2317089	Up
1077	TMEM158	1.2308263	Up
3370	RAP2A	1.2297062	Up
1855	RFC5	1.2286489	Up
1093	WDR26	1.2285617	Up
1914	CUL4B	1.2274973	Up
1246	SYT11	1.2261254	Up
1925	TIGAR	1.2236118	Up
2579	STUM	1.2227384	Up
2248	GTF3C4	1.2220238	Up
2111	IGHV3-23///IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1///IGH	1.2204239	Up
3315	EIF4G3	1.2199746	Up
951	SLC25A16	1.2194894	Up
2638	VRK3	1.2164669	Up
2586		1.216339	Up
2577		1.2156923	Up
1426	TRAF3IP2	1.2154945	Up
3460	ARHGAP9	1.2126691	Up
793	COG1	1.2122111	Up
2945	MMP24-AS1	1.2118494	Up
590	MCM6	1.2112932	Up
2608	NAA15	1.2096656	Up
3032	PTK2	1.2090081	Up
2192		1.2070096	Up
3142	DIP2A	1.2068139	Up
2021	LOC101929528	1.2066324	Up
701	BIRC5	1.206432	Up
